,Id_ShareMov,Shareholder_Id,Shareholder_Name,Id_Entity,Entity_name,Id_Product,Product_name,Id_Currency,ShareValue,Request_Date,Quote_Date,EffQuote_date,EffectiveFin_Date,Movimentação,Instrumento_Movimentação,Net_Amount,Number_Shares,Close_Date,Closed,Distribuidor
0,3110,497,GERACAO FUTURO 163394,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,30000.0,7.060673,,,GENIAL INVESTIMENTOS CVM S.A
1,3111,310,NECTON 8107966,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,1100.0,0.2588913,,,NECTON
2,3112,117,ORAMA DTVM GRUPO I - P/C 18511791,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,1000.0,0.2353558,,,ORAMA DTVM GRUPO I
3,3113,757,ORAMA PC 25665383,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,5000.0,1.1767788,,,ORAMA DTVM GRUPO I
4,3114,622,ORAMA PC 19096761,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,4967.34,1.1690921,,,ORAMA DTVM GRUPO I
5,3115,484,ORAMA DTVM GRUPO I - P/C 20343371,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,5000.0,1.1767788,,,ORAMA DTVM GRUPO I
6,3116,758,ORAMA PC 18486551,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,5000.0,1.1767788,,,ORAMA DTVM GRUPO I
7,3117,700,ORAMA PC 20358461,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,5000.0,1.1767788,,,ORAMA DTVM GRUPO I
8,3118,567,ORAMA PC 18497001,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,10000.0,2.3535577,,,ORAMA DTVM GRUPO I
9,3119,759,ORAMA PC 25690590,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,50000.0,11.7677884,,,ORAMA DTVM GRUPO I
10,3120,760,ORAMA PC 18890881,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,50000.0,11.7677884,,,ORAMA DTVM GRUPO I
11,3121,525,ORAMA PC 18008261,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,5000.0,1.1767788,,,ORAMA DTVM GRUPO I
12,3122,761,ORAMA PC 19468121,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,27289.71,6.4227909,,,ORAMA DTVM GRUPO I
13,3123,630,ORAMA PC 18782761,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,20000.0,4.7071153,,,ORAMA DTVM GRUPO I
14,3124,234,ORAMA DTVM GRUPO I - P/C 23735590,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,20000.0,4.7071153,,,ORAMA DTVM GRUPO I
15,3125,762,ORAMA PC 18660251,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,10000.0,2.3535577,,,ORAMA DTVM GRUPO I
16,3126,722,ORAMA PC 24577731,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,1565.96,0.3685577,,,ORAMA DTVM GRUPO I
17,3127,109,TERRA INVESTIMENTOS DTVM - 11921,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,20000.0,4.7071153,,,TERRA INVESTIMENTOS DTVM
18,3128,559,GAMA PROGRESSIVO FIC FIM CP IE,3,Octante Crédito Privado FIM,2335,QUOTES OCP,24,4248.8867457,2020-02-21,2020-02-26,2020-02-26,2020-02-21,Aplicação,Financeiro,300000.0,70.6067302,,,ANDBANK - PRIVATE PARTNERS
