,Refdate,Id_Entity,Entity,Id_Product,Product,Open_ShareQtt,Td_ShareMovQtt,Td_SubsQtt,Td_RedmQtt,Td_CloseShareQtt,Td_ShareValue,Yd_ShareValue,Td_PL,Total_Performance,Entity_TotalApport,Last_Update,Id_Currency,Td_NAV_Mov
0,2020-02-27 00:00:00.000000,3,Octante Crédito Privado FIM,2335,QUOTES OCP,21318.84693,26.30257,26.30257,,21345.14949,4306.3250251,4248.8867457,1224517.89,,82632670.61,2020-02-27 13:46:14.835500,24,113267.42
1,2020-02-27 00:00:00.000000,1,Octante Credit Fund,2675,QUOTES OCTANTE CREDIT,28987.88672,,,,28987.88672,1627.7993801,1601.0411342,775665.0,,42256805.24,2020-02-27 13:46:14.835500,1,
2,2020-02-27 00:00:00.000000,2,Octante Macro Fund,2676,QUOTES OCTANTE MACRO,11742.71973,,,,11742.71973,1574.6347927,1544.5918376,352786.0,,15763980.55,2020-02-27 13:46:14.835500,1,
3,2020-02-27 00:00:00.000000,14,Octante Macro Crédito Privado FIM IE,4889,QUOTES OMCP,38612.36719,,,,38612.36719,1084.2241757,1068.514986,606569.0,,38612367.19,2020-02-27 13:46:14.835500,24,
