,Refdate,Id_ShareMov,Id_Shareholder,Id_Entity,Id_Product,Id_PFeeType,Id_RiskFactorBenchmark,Td_Price,Td_Value,Quote_Date,Open_ShareValue,EffQuote_Date,Subscription_Amount,Subscription_Shares,Td_OpenShares,Td_RedempShares,Td_CloseShares,Td_CloseAmount,PFee_DateBase,PFee_ShareValue,RiskFactor_Appreciation,PFee_ShareBaseBenchmark,PFeeBenchmark_Amount,Td_Performance,Closed
0,2020-02-27,41,12,1,2675,,,1627.7993801,1627.7993801,2016-12-30,1457.740112304688,2016-12-30,42256804.0,28987.88672,28987.8867188,,28987.88672,47186464.03,2016-12-30,1457.7401123,,,,,
1,2020-02-27,45,12,2,2676,,,1574.6347927,1574.6347927,2016-12-30,1342.447143554688,2016-12-30,15763981.0,11742.71973,11742.7197266,,11742.71973,18490495.05,2016-12-30,1342.4471436,,,,,
2,2020-02-27,192,16,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-03-11,3654.4260254,2019-03-11,38000.0,10.39835,10.22555,,10.22555,44034.54,2019-03-11,3654.4260254,1.0543621,3853.0881242,,,
3,2020-02-27,115,18,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-08-07,3420.863525390625,2018-08-07,112000.0,32.74027,31.88872,,31.88872,137323.19,2018-08-07,3420.8635254,1.0929305,3738.7660598,,,
4,2020-02-27,116,17,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-08-08,3413.68115234375,2018-08-08,4000000.0,1171.7556,539.5680719,,539.56807,2323555.48,2018-08-08,3413.6811523,1.0926619,3729.9992781,,,
5,2020-02-27,118,16,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-08-08,3413.68115234375,2018-08-08,200000.0,58.58778,57.04631,,57.04631,245659.95,2018-08-08,3413.6811523,1.0926619,3729.9992781,,,
6,2020-02-27,132,20,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-10-15,3481.4619141,2018-10-15,2000000.0,574.47131,574.47131,,574.47131,2473860.18,2018-10-15,3481.4619141,1.0803734,3761.2787427,,,
7,2020-02-27,95,11,14,4889,1.0,458.0,1084.2241757,1084.2241757,2018-05-04,1000.0,2018-05-04,38612368.0,38612.36719,38612.3671875,,38612.36719,41864461.99,2018-05-04,1000.0,1.1108055,1110.8054702,,,
8,2020-02-27,134,329,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-10-26,3492.4335938,2018-10-26,50000.0,14.31666,13.98725,,13.98725,60233.64,2018-10-26,3492.4335938,1.0779824,3764.7820271,,,
9,2020-02-27,130,17,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-09-13,3366.5554199,2018-09-13,4000000.0,1188.15807,1188.15807,,1188.15807,5116594.83,2018-09-13,3366.5554199,1.0859681,3655.9716914,,,
10,2020-02-27,141,22,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-11-27,3484.4182129,2018-11-27,50000.0,14.3496,14.01499,,14.01499,60353.1,2018-11-27,3484.4182129,1.0726881,3737.6940746,,,
11,2020-02-27,142,16,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-12-06,3495.9870605,2018-12-06,80000.0,22.88338,22.3603,,22.3603,96290.72,2018-12-06,3495.9870605,1.0708413,3743.6472682,,,
12,2020-02-27,190,17,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-02-22,3631.2785645,2019-02-22,2000000.0,550.77019,550.77019,,550.77019,2371795.45,2019-02-22,3631.2785645,1.0567006,3837.1742784,,,
13,2020-02-27,193,28,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-03-11,3654.4260254,2019-03-11,25000.0,6.84102,6.72711,,6.72711,28969.12,2019-03-11,3654.4260254,1.0543621,3853.0881242,,,
14,2020-02-27,195,50,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-03-27,3667.4985352,2019-03-27,50000.0,13.63327,13.40973,,13.40973,57746.66,2019-03-27,3667.4985352,1.051252,3855.4652622,,,
15,2020-02-27,200,16,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-04-03,3698.8212891,2019-04-03,275000.0,74.34801,73.24259,,73.24259,315406.4,2019-04-03,3698.8212891,1.0499589,3883.6102889,,,
16,2020-02-27,212,54,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-04-30,3742.0200195,2019-04-30,7000.0,1.87065,1.84737,,1.84737,7955.38,2019-04-30,3742.0200195,1.0453168,3911.5962299,,,
17,2020-02-27,196,23,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-03-27,3667.4985352,2019-03-27,10000.0,2.72665,2.69271,,2.69271,11595.68,2019-03-27,3667.4985352,1.051252,3855.4652622,,,
18,2020-02-27,213,58,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-04-30,3742.0200195,2019-04-30,25000.0,6.68088,6.59292,,6.59292,28391.26,2019-04-30,3742.0200195,1.0453168,3911.5962299,,,
19,2020-02-27,218,17,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-05-14,3749.7661133,2019-05-14,2400000.0,640.03992,640.03992,,640.03992,2756219.92,2019-05-14,3749.7661133,1.0430034,3911.0187765,,,
20,2020-02-27,351,55,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-07-04,3880.2915039,2019-07-04,10000.0,2.57713,2.55637,,2.55637,11008.56,2019-07-04,3880.2915039,1.033801,4011.4493886,,,
21,2020-02-27,216,55,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-05-10,3755.7368164,2019-05-10,25000.0,6.65648,6.57363,,6.57363,28308.19,2019-05-10,3755.7368164,1.043517,3919.1753281,,,
22,2020-02-27,104,16,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-07-12,3322.72607421875,2018-07-12,240000.0,72.22985,70.0540608,,70.05406,301675.55,2018-07-12,3322.7260042,1.0977768,3647.6113982,,,
23,2020-02-27,106,16,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-07-16,3387.383056640625,2018-07-16,200000.0,59.04263,57.4240992,,57.4241,247286.84,2018-07-16,3387.3830566,1.0972372,3716.7627996,,,
24,2020-02-27,108,16,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-07-17,3395.0029296875,2018-07-17,120000.0,35.34607,34.3884093,,34.38841,148087.67,2018-07-17,3395.0029297,1.0969676,3724.2080879,,,
25,2020-02-27,112,16,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-07-27,3428.548828125,2018-07-27,100000.0,29.16686,28.4176406,,28.41764,122375.59,2018-07-27,3428.5488281,1.0948126,3753.6184809,,,
26,2020-02-27,2667,580,3,2335,1.0,458.0,4306.3250251,4306.3250251,2020-01-15,4211.918457,2020-01-15,30000.0,7.12264,7.122645,,7.12264,30672.4,2020-01-15,4211.918457,1.0048433,4232.3182148,,,
27,2020-02-27,162,23,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-01-11,3536.0209961,2019-01-11,25000.0,7.07009,6.90967,,6.90967,29755.28,2019-01-11,3536.0209961,1.0645333,3764.2121944,,,
28,2020-02-27,191,16,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-02-26,3636.1647949,2019-02-26,60000.0,16.5009,16.21483,,16.21483,69826.33,2019-02-26,3636.1647949,1.0561805,3840.4462917,,,
29,2020-02-27,207,17,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-04-16,3730.2578125,2019-04-16,2000000.0,536.15597,536.15597,,536.15597,2308861.87,2019-04-16,3730.2578125,1.0476353,3907.9495814,,,
30,2020-02-27,210,20,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-04-16,3730.2578125,2019-04-16,2000000.0,536.15597,536.15597,,536.15597,2308861.87,2019-04-16,3730.2578125,1.0476353,3907.9495814,,,
31,2020-02-27,211,56,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-04-16,3730.2578125,2019-04-16,25000.0,6.70195,6.6106,,6.6106,28467.39,2019-04-16,3730.2578125,1.0476353,3907.9495814,,,
32,2020-02-27,202,52,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-04-12,3723.2595215,2019-04-12,25000.0,6.71455,5.4372,,5.4372,23414.35,2019-04-12,3723.2595215,1.0481512,3902.5388222,,,
33,2020-02-27,203,53,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-04-12,3723.2595215,2019-04-12,25000.0,6.71455,6.62117,,6.62117,28512.91,2019-04-12,3723.2595215,1.0481512,3902.5388222,,,
34,2020-02-27,204,17,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-04-15,3725.8435059,2019-04-15,2000000.0,536.7912,536.7912,,536.7912,2311597.38,2019-04-15,3725.8435059,1.0478932,3904.2859947,,,
35,2020-02-27,205,55,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-04-15,3725.8435059,2019-04-15,25000.0,6.70989,6.61394,,6.61394,28481.78,2019-04-15,3725.8435059,1.0478932,3904.2859947,,,
36,2020-02-27,206,54,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-04-15,3725.8435059,2019-04-15,25000.0,6.70989,6.61593,,6.61593,28490.34,2019-04-15,3725.8435059,1.0478932,3904.2859947,,,
37,2020-02-27,296,62,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-05-28,3758.5092773,2019-05-28,70000.0,18.62441,18.39246,,18.39246,79203.91,2019-05-28,3758.5092773,1.040439,3910.4995987,,,
38,2020-02-27,221,17,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-05-20,3755.8449707,2019-05-20,200000.0,53.25033,53.25033,,53.25033,229313.23,2019-06-28,3857.4285174,1.0348195,3991.7422881,,,
39,2020-02-27,217,55,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-05-13,3753.6140137,2019-05-13,50000.0,13.3205,13.1547,,13.1547,56648.41,2019-05-13,3753.6140137,1.0432602,3915.9960325,,,
40,2020-02-27,222,61,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-05-22,3761.1240234,2019-05-22,44000.0,11.69863,11.55338,,11.55338,49752.61,2019-05-22,3761.1240234,1.041464,3917.0752514,,,
41,2020-02-27,223,60,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-05-22,3761.1240234,2019-05-22,25000.0,6.64695,6.56442,,6.56442,28268.53,2019-05-22,3761.1240234,1.041464,3917.0752514,,,
42,2020-02-27,346,66,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-06-12,3799.6853027,2019-06-12,132176.91,34.78628,34.40344,,34.40344,148152.39,2019-06-12,3799.6853027,1.0376254,3942.6501063,,,
43,2020-02-27,347,67,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-06-12,3799.6853027,2019-06-12,93618.27,24.63843,24.36727,,24.36727,104933.38,2019-06-12,3799.6853027,1.0376254,3942.6501063,,,
44,2020-02-27,349,66,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-06-14,3817.407959,2019-06-14,5161.85,1.35219,1.33818,,1.33818,5762.64,2019-06-14,3817.407959,1.0371147,3959.0898858,,,
45,2020-02-27,353,70,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-07-15,3907.3876953,2019-07-15,25000.0,6.39814,6.35293,,6.35293,27357.78,2019-07-15,3907.3876953,1.0320211,4032.5064929,,,
46,2020-02-27,369,83,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-08-08,3946.4624023,2019-08-08,30000.0,7.60174,7.55889,,7.55889,32551.04,2019-08-08,3946.4624023,1.0275543,4055.2043631,,,
47,2020-02-27,370,81,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-08-08,3946.4624023,2019-08-08,379900.0,96.26343,95.72086,,95.72086,412205.13,2019-08-08,3946.4624023,1.0275543,4055.2043631,,,
48,2020-02-27,138,21,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-11-09,3528.1472168,2018-11-09,150000.0,42.51523,41.59725,,41.59725,179131.28,2018-11-09,3528.1472168,1.0755968,3794.8637401,,,
49,2020-02-27,119,18,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-08-10,3387.46826171875,2018-08-10,30000.0,8.85617,8.61342,,8.61342,37092.19,2018-08-10,3387.4682617,1.0921249,3699.5383172,,,
50,2020-02-27,120,17,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-08-10,3387.46826171875,2018-08-10,5000000.0,1476.02859,345.19078,,345.19078,1486503.69,2018-08-10,3387.4682617,1.0921249,3699.5383172,,,
51,2020-02-27,121,16,3,2335,1.0,458.0,4306.3250251,4306.3250251,2018-08-10,3387.46826171875,2018-08-10,40000.0,11.80823,11.48457,,11.48457,49456.29,2018-08-10,3387.4682617,1.0921249,3699.5383172,,,
52,2020-02-27,358,73,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-07-23,3920.659668,2019-07-23,20000.0,5.10118,5.06761,,5.06761,21822.78,2019-07-23,3920.659668,1.0304979,4040.2316203,,,
53,2020-02-27,354,71,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-07-19,3915.4462891,2019-07-19,10000.0,2.55399,2.5367,,2.5367,10923.85,2019-07-19,3915.4462891,1.0310054,4036.8463594,,,
54,2020-02-27,355,55,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-07-19,3915.4462891,2019-07-19,53000.0,13.53613,13.44448,,13.44448,57896.3,2019-07-19,3915.4462891,1.0310054,4036.8463594,,,
55,2020-02-27,356,72,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-07-22,3916.1943359,2019-07-22,10000.0,2.5535,2.53628,,2.53628,10922.05,2019-07-22,3916.1943359,1.0307516,4036.6236076,,,
56,2020-02-27,368,80,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-08-07,3938.9260254,2019-08-07,10000.0,2.53876,2.52375,,2.52375,10868.09,2019-08-07,3938.9260254,1.0277881,4048.3812626,,,
57,2020-02-27,367,79,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-08-06,3936.1535645,2019-08-06,56300.0,14.3033,14.21729,,14.21729,61224.27,2019-08-06,3936.1535645,1.0280219,4046.4521908,,,
58,2020-02-27,374,81,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-08-09,3950.6459961,2019-08-09,665047.25,168.33886,167.41581,,167.41581,720946.89,2019-08-09,3950.6459961,1.0273206,4058.5799696,,,
59,2020-02-27,371,82,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-08-08,3946.4624023,2019-08-08,10000.0,2.53391,2.51963,,2.51963,10850.35,2019-08-08,3946.4624023,1.0275543,4055.2043631,,,
60,2020-02-27,375,81,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-08-12,3946.791748,2019-08-12,180000.0,45.60666,45.35015,,45.35015,195292.49,2019-08-12,3946.791748,1.0270869,4053.6982091,,,
61,2020-02-27,377,85,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-08-13,3945.3491211,2019-08-13,25000.0,6.33657,6.3006,,6.3006,27132.43,2019-08-13,3945.3491211,1.0268533,4051.2947668,,,
62,2020-02-27,430,122,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-09-11,3987.9851074,2019-09-11,10000.0,2.50753,2.4972,,2.4972,10753.75,2019-09-11,3987.9851074,1.0219595,4075.5594585,,,
63,2020-02-27,431,28,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-09-11,3987.9851074,2019-09-11,2000.0,0.50151,0.49944,,0.49944,2150.75,2019-09-11,3987.9851074,1.0219595,4075.5594585,,,
64,2020-02-27,432,119,3,2335,1.0,458.0,4306.3250251,4306.3250251,2019-09-11,3987.9851074,2019-09-11,50000.0,12.53766,12.48604,,12.48604,53768.95,2019-09-11,3987.9851074,1.0219595,4075.5594585,,,
