,Refdate,Id_Entity,Entity,Id_Product,Product,Open_ShareQtt,Td_ShareMovQtt,Td_SubsQtt,Td_RedmQtt,Td_CloseShareQtt,Td_ShareValue,Yd_ShareValue,Td_PL,Total_Performance,Entity_TotalApport,Last_Update,Id_Currency,Td_NAV_Mov
0,2020-02-19 00:00:00.000000,3,Octante Crédito Privado FIM,2335,QUOTES OCP,20476.08921,315.96483,316.19738,-0.23255,20792.05405,4300.2369244,4289.412404,221643.85,,80259520.32,2020-02-24 16:10:14.512391,24,1358723.63
1,2020-02-19 00:00:00.000000,1,Octante Credit Fund,2675,QUOTES OCTANTE CREDIT,28987.88672,,,,28987.88672,1627.7066172,1625.1549652,73967.0,,42256805.24,2020-02-24 16:10:14.512391,1,
2,2020-02-19 00:00:00.000000,2,Octante Macro Fund,2676,QUOTES OCTANTE MACRO,11742.71973,,,,11742.71973,1573.6994897,1570.5710833,36736.0,,15763980.55,2020-02-24 16:10:14.512391,1,
3,2020-02-19 00:00:00.000000,14,Octante Macro Crédito Privado FIM IE,4889,QUOTES OMCP,38612.36719,,,,38612.36719,1085.2734768,1083.9098205,52654.0,,38612367.19,2020-02-24 16:10:14.512391,24,
