,Refdate,Id_ShareMov,Id_Shareholder,Id_Entity,Id_Product,Id_PFeeType,Id_RiskFactorBenchmark,Td_Price,Td_Value,Quote_Date,Open_ShareValue,EffQuote_Date,Subscription_Amount,Subscription_Shares,Td_OpenShares,Td_RedempShares,Td_CloseShares,Td_CloseAmount,PFee_DateBase,PFee_ShareValue,RiskFactor_Appreciation,PFee_ShareBaseBenchmark,PFeeBenchmark_Amount,Td_Performance,Closed
22,2020-02-19,104,16,3,2335,1.0,458.0,4300.2369244,4300.2369244,2018-07-12,3322.72607421875,2018-07-12,240000.0,72.22985,70.0540608,,70.0540608,,3322.7260042,3322.7260042,1.0970684,3645.2578565,,,
23,2020-02-19,106,16,3,2335,1.0,458.0,4300.2369244,4300.2369244,2018-07-16,3387.383056640625,2018-07-16,200000.0,59.04263,57.4240992,,57.4240992,,3387.383056640625,3387.3830566,1.0965293,3714.3646395,,,
24,2020-02-19,108,16,3,2335,1.0,458.0,4300.2369244,4300.2369244,2018-07-17,3395.0029296875,2018-07-17,120000.0,35.34607,34.3884093,,34.3884093,,3395.0029296875,3395.0029297,1.0962598,3721.8051239,,,
25,2020-02-19,112,16,3,2335,1.0,458.0,4300.2369244,4300.2369244,2018-07-27,3428.548828125,2018-07-27,100000.0,29.16686,28.4176406,,28.4176406,,3428.548828125,3428.5488281,1.0941062,3751.1965404,,,
26,2020-02-19,2667,580,3,2335,1.0,458.0,4300.2369244,4300.2369244,2020-01-15,4211.918457,2020-01-15,30000.0,7.12264,7.122645,,7.122645,,4211.918457,4211.918457,1.004195,4229.5874038,,,
27,2020-02-19,162,23,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-01-11,3536.0209961,2019-01-11,25000.0,7.07009,6.90967,,6.90967,,3536.0209961,3536.0209961,1.0638465,3761.7834185,,,
28,2020-02-19,191,16,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-02-26,3636.1647949,2019-02-26,60000.0,16.5009,16.21483,,16.21483,,3636.1647949,3636.1647949,1.055499,3837.9683275,,,
29,2020-02-19,207,17,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-04-16,3730.2578125,2019-04-16,2000000.0,536.15597,536.15597,,536.15597,,3730.2578125,3730.2578125,1.0469593,3905.4280622,,,
30,2020-02-19,210,20,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-04-16,3730.2578125,2019-04-16,2000000.0,536.15597,536.15597,,536.15597,,3730.2578125,3730.2578125,1.0469593,3905.4280622,,,
31,2020-02-19,211,56,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-04-16,3730.2578125,2019-04-16,25000.0,6.70195,6.6106,,6.6106,,3730.2578125,3730.2578125,1.0469593,3905.4280622,,,
32,2020-02-19,202,52,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-04-12,3723.2595215,2019-04-12,25000.0,6.71455,5.4372,,5.4372,,3723.2595215,3723.2595215,1.0474749,3900.0207942,,,
33,2020-02-19,203,53,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-04-12,3723.2595215,2019-04-12,25000.0,6.71455,6.62117,,6.62117,,3723.2595215,3723.2595215,1.0474749,3900.0207942,,,
34,2020-02-19,204,17,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-04-15,3725.8435059,2019-04-15,2000000.0,536.7912,536.7912,,536.7912,,3725.8435059,3725.8435059,1.047217,3901.7668393,,,
35,2020-02-19,205,55,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-04-15,3725.8435059,2019-04-15,25000.0,6.70989,6.61394,,6.61394,,3725.8435059,3725.8435059,1.047217,3901.7668393,,,
36,2020-02-19,206,54,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-04-15,3725.8435059,2019-04-15,25000.0,6.70989,6.61593,,6.61593,,3725.8435059,3725.8435059,1.047217,3901.7668393,,,
37,2020-02-19,296,62,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-05-28,3758.5092773,2019-05-28,70000.0,18.62441,18.39246,,18.39246,,3758.5092773,3758.5092773,1.0397677,3907.9764341,,,
38,2020-02-19,221,17,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-05-20,3755.8449707,2019-05-20,200000.0,53.25033,53.25033,,53.25033,,3857.4285174,3857.4285174,1.0341518,3989.1667034,,,
39,2020-02-19,217,55,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-05-13,3753.6140137,2019-05-13,50000.0,13.3205,13.1547,,13.1547,,3753.6140137,3753.6140137,1.042587,3913.4693214,,,
40,2020-02-19,222,61,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-05-22,3761.1240234,2019-05-22,44000.0,11.69863,11.55338,,11.55338,,3761.1240234,3761.1240234,1.040792,3914.547844,,,
41,2020-02-19,223,60,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-05-22,3761.1240234,2019-05-22,25000.0,6.64695,6.56442,,6.56442,,3761.1240234,3761.1240234,1.040792,3914.547844,,,
42,2020-02-19,346,66,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-06-12,3799.6853027,2019-06-12,132176.91,34.78628,34.40344,,34.40344,,3799.6853027,3799.6853027,1.0369559,3940.1061973,,,
43,2020-02-19,347,67,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-06-12,3799.6853027,2019-06-12,93618.27,24.63843,24.36727,,24.36727,,3799.6853027,3799.6853027,1.0369559,3940.1061973,,,
44,2020-02-19,349,66,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-06-14,3817.407959,2019-06-14,5161.85,1.35219,1.33818,,1.33818,,3817.407959,3817.407959,1.0364455,3956.5353694,,,
45,2020-02-19,353,70,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-07-15,3907.3876953,2019-07-15,25000.0,6.39814,6.35293,,6.35293,,3907.3876953,3907.3876953,1.0313552,4029.904606,,,
46,2020-02-19,369,83,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-08-08,3946.4624023,2019-08-08,30000.0,7.60174,7.55889,,7.55889,,3946.4624023,3946.4624023,1.0268913,4052.5878309,,,
47,2020-02-19,370,81,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-08-08,3946.4624023,2019-08-08,379900.0,96.26343,95.72086,,95.72086,,3946.4624023,3946.4624023,1.0268913,4052.5878309,,,
48,2020-02-19,138,21,3,2335,1.0,458.0,4300.2369244,4300.2369244,2018-11-09,3528.1472168,2018-11-09,150000.0,42.51523,41.59725,,41.59725,,3528.1472168,3528.1472168,1.0749028,3792.415187,,,
49,2020-02-19,119,18,3,2335,1.0,458.0,4300.2369244,4300.2369244,2018-08-10,3387.46826171875,2018-08-10,30000.0,8.85617,8.61342,,8.61342,,3387.46826171875,3387.4682617,1.0914202,3697.1512708,,,
50,2020-02-19,120,17,3,2335,1.0,458.0,4300.2369244,4300.2369244,2018-08-10,3387.46826171875,2018-08-10,5000000.0,1476.02859,345.19078,,345.19078,,3387.46826171875,3387.4682617,1.0914202,3697.1512708,,,
51,2020-02-19,121,16,3,2335,1.0,458.0,4300.2369244,4300.2369244,2018-08-10,3387.46826171875,2018-08-10,40000.0,11.80823,11.48457,,11.48457,,3387.46826171875,3387.4682617,1.0914202,3697.1512708,,,
52,2020-02-19,358,73,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-07-23,3920.659668,2019-07-23,20000.0,5.10118,5.06761,,5.06761,,3920.659668,3920.659668,1.029833,4037.6247489,,,
53,2020-02-19,354,71,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-07-19,3915.4462891,2019-07-19,10000.0,2.55399,2.5367,,2.5367,,3915.4462891,3915.4462891,1.0303402,4034.2416723,,,
54,2020-02-19,355,55,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-07-19,3915.4462891,2019-07-19,53000.0,13.53613,13.44448,,13.44448,,3915.4462891,3915.4462891,1.0303402,4034.2416723,,,
55,2020-02-19,356,72,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-07-22,3916.1943359,2019-07-22,10000.0,2.5535,2.53628,,2.53628,,3916.1943359,3916.1943359,1.0300865,4034.0190643,,,
56,2020-02-19,368,80,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-08-07,3938.9260254,2019-08-07,10000.0,2.53876,2.52375,,2.52375,,3938.9260254,3938.9260254,1.0271249,4045.7691328,,,
57,2020-02-19,367,79,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-08-06,3936.1535645,2019-08-06,56300.0,14.3033,14.21729,,14.21729,,3936.1535645,3936.1535645,1.0273586,4043.8413057,,,
58,2020-02-19,374,81,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-08-09,3950.6459961,2019-08-09,665047.25,168.33886,167.41581,,167.41581,,3950.6459961,3950.6459961,1.0266577,4055.9612594,,,
59,2020-02-19,371,82,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-08-08,3946.4624023,2019-08-08,10000.0,2.53391,2.51963,,2.51963,,3946.4624023,3946.4624023,1.0268913,4052.5878309,,,
60,2020-02-19,375,81,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-08-12,3946.791748,2019-08-12,180000.0,45.60666,45.35015,,45.35015,,3946.791748,3946.791748,1.0264242,4051.0826487,,,
61,2020-02-19,377,85,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-08-13,3945.3491211,2019-08-13,25000.0,6.33657,6.3006,,6.3006,,3945.3491211,3945.3491211,1.0261907,4048.6807572,,,
62,2020-02-19,430,122,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-11,3987.9851074,2019-09-11,10000.0,2.50753,2.4972,,2.4972,,3987.9851074,3987.9851074,1.0213002,4072.9297926,,,
63,2020-02-19,431,28,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-11,3987.9851074,2019-09-11,2000.0,0.50151,0.49944,,0.49944,,3987.9851074,3987.9851074,1.0213002,4072.9297926,,,
64,2020-02-19,432,119,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-11,3987.9851074,2019-09-11,50000.0,12.53766,12.48604,,12.48604,,3987.9851074,3987.9851074,1.0213002,4072.9297926,,,
65,2020-02-19,433,120,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-11,3987.9851074,2019-09-11,253537.69,63.57538,63.31361,,63.31361,,3987.9851074,3987.9851074,1.0213002,4072.9297926,,,
66,2020-02-19,434,121,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-11,3987.9851074,2019-09-11,220000.0,55.1657,54.93856,,54.93856,,3987.9851074,3987.9851074,1.0213002,4072.9297926,,,
67,2020-02-19,435,81,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-11,3987.9851074,2019-09-11,180000.0,45.13557,44.94973,,44.94973,,3987.9851074,3987.9851074,1.0213002,4072.9297926,,,
68,2020-02-19,426,81,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-10,3990.2080078,2019-09-10,170000.0,42.6043,42.43234,,42.43234,,3990.2080078,3990.2080078,1.0215324,4076.1269616,,,
69,2020-02-19,427,100,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-10,3990.2080078,2019-09-10,33078.5,8.28992,8.25646,,8.25646,,3990.2080078,3990.2080078,1.0215324,4076.1269616,,,
70,2020-02-19,122,17,3,2335,1.0,458.0,4300.2369244,4300.2369244,2018-08-16,3389.2758789,2018-08-16,4800000.0,1416.23172,1416.23172,,1416.23172,,3389.2758789,3389.2758789,1.0903476,3695.4889477,,,
71,2020-02-19,123,17,3,2335,1.0,458.0,4300.2369244,4300.2369244,2018-08-24,3363.3137207,2018-08-24,2500000.0,743.31454,743.31454,,743.31454,,3363.3137207,3363.3137207,1.0887408,3661.7768047,,,
72,2020-02-19,176,26,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-02-19,3619.1311035,2019-02-19,25000.0,6.90774,6.78334,,6.78334,,3619.1311035,3619.1311035,1.056799,3824.6940062,,,
73,2020-02-19,219,17,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-05-17,3751.2878418,2019-05-17,1200000.0,319.89014,319.89014,,319.89014,,3751.2878418,3751.2878418,1.0415609,3907.194855,,,
74,2020-02-19,220,28,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-05-17,3751.2878418,2019-05-17,5000.0,1.33288,1.31628,,1.31628,,4171.0337088,4171.0337088,1.0059124,4195.6943528,,,
75,2020-02-19,359,65,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-07-24,3921.810791,2019-07-24,8832.0,2.25202,2.2373,,2.2373,,3921.810791,3921.810791,1.0295795,4037.816141,,,
76,2020-02-19,360,75,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-07-24,3921.810791,2019-07-24,5000.0,1.27492,1.26658,,1.26658,,3921.810791,3921.810791,1.0295795,4037.816141,,,
77,2020-02-19,366,78,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-08-02,3943.7922363,2019-08-02,5000.0,1.26782,1.26055,,1.26055,,3943.7922363,3943.7922363,1.0278261,4053.5326331,,,
78,2020-02-19,595,211,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-10-24,4062.6340332,2019-10-24,15000.0,3.69219,3.68707,,3.68707,,4062.6340332,4062.6340332,1.0145996,4121.9469073,,,
79,2020-02-19,596,95,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-10-24,4062.6340332,2019-10-24,1000.0,0.24615,0.24581,,0.24581,,4062.6340332,4062.6340332,1.0145996,4121.9469073,,,
80,2020-02-19,385,93,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-08-22,3942.3955078,2019-08-22,5629.93,1.42805,1.41979,,1.41979,,3942.3955078,3942.3955078,1.0245579,4039.2125311,,,
81,2020-02-19,201,17,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-04-08,3715.6589355,2019-04-08,1000000.0,269.13127,269.13127,,269.13127,,3715.6589355,3715.6589355,1.0485068,3895.8936885,,,
82,2020-02-19,214,59,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-05-02,3746.1408691,2019-05-02,40000.0,10.67766,10.5388,,10.5388,,3746.1408691,3746.1408691,1.0443852,3912.4139344,,,
83,2020-02-19,300,64,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-06-03,3750.6206055,2019-06-03,31800.0,8.4786,8.37007,,8.37007,,3750.6206055,3750.6206055,1.0387443,3895.9359185,,,
84,2020-02-19,344,65,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-06-10,3789.763916,2019-06-10,39985.0,10.55079,10.43084,,10.43084,,3789.763916,3789.763916,1.0374666,3931.753439,,,
85,2020-02-19,350,68,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-06-26,3841.277832,2019-06-26,750000.0,195.24753,193.39579,,193.39579,,3841.277832,3841.277832,1.034661,3974.4205364,,,
86,2020-02-19,386,94,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-08-22,3942.3955078,2019-08-22,122586.26,31.09436,30.91448,,30.91448,,3942.3955078,3942.3955078,1.0245579,4039.2125311,,,
87,2020-02-19,387,95,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-08-22,3942.3955078,2019-08-22,5000.0,1.26826,1.26092,,1.26092,,3942.3955078,3942.3955078,1.0245579,4039.2125311,,,
88,2020-02-19,388,96,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-08-22,3942.3955078,2019-08-22,10000.0,2.53653,2.52186,,2.52186,,3942.3955078,3942.3955078,1.0245579,4039.2125311,,,
89,2020-02-19,402,106,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-02,3951.0236816,2019-09-02,30000.0,7.59297,7.55144,,7.55144,,3951.0236816,3951.0236816,1.0229277,4041.6115543,,,
90,2020-02-19,446,81,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-16,3996.9914551,2019-09-16,46754.75,11.69749,11.65318,,11.65318,,3996.9914551,3996.9914551,1.0206034,4079.3430847,,,
91,2020-02-19,447,132,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-16,3996.9914551,2019-09-16,8000.0,2.00151,1.99393,,1.99393,,3996.9914551,3996.9914551,1.0206034,4079.3430847,,,
92,2020-02-19,448,127,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-16,3996.9914551,2019-09-16,15000.0,3.75282,3.7386,,3.7386,,3996.9914551,3996.9914551,1.0206034,4079.3430847,,,
93,2020-02-19,444,94,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-13,3995.4216309,2019-09-13,43424.34,10.86852,10.82673,,10.82673,,3995.4216309,3995.4216309,1.0208356,4078.6686118,,,
94,2020-02-19,408,109,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-04,3961.8942871,2019-09-04,124608.95,31.45186,31.29234,,31.29234,,3961.8942871,3961.8942871,1.0224624,4050.8880331,,,
95,2020-02-19,409,110,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-04,3961.8942871,2019-09-04,10000.0,2.52405,2.51125,,2.51125,,3961.8942871,3961.8942871,1.0224624,4050.8880331,,,
96,2020-02-19,410,111,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-04,3961.8942871,2019-09-04,10000.0,2.52405,2.51125,,2.51125,,3961.8942871,3961.8942871,1.0224624,4050.8880331,,,
97,2020-02-19,411,100,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-04,3961.8942871,2019-09-04,87124.54,21.99063,21.8791,,21.8791,,3961.8942871,3961.8942871,1.0224624,4050.8880331,,,
98,2020-02-19,412,112,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-04,3961.8942871,2019-09-04,52157.15,13.1647,13.09793,,13.09793,,3961.8942871,3961.8942871,1.0224624,4050.8880331,,,
99,2020-02-19,445,131,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-09-13,3995.4216309,2019-09-13,15000.0,3.7543,3.73986,,3.73986,,3995.4216309,3995.4216309,1.0208356,4078.6686118,,,
100,2020-02-19,215,50,3,2335,1.0,458.0,4300.2369244,4300.2369244,2019-05-03,3752.4084473,2019-05-03,50000.0,13.32478,13.15892,,13.15892,,3752.4084473,3752.4084473,1.0441281,3917.9950903,,,
